timestamp,delta,theta,loAlpha,hiAlpha,loBeta,hiBeta,loGamma,midGamma
1476251978,1573133,13697034,10158102,7798821,11403284,5373990,851978,8716305
1476251979,1574596,9175629,1310983,11141338,9044099,3276923,7995585,8781873
1476251980,1573232,5505057,0,0,0,0,0,0
1476251981,1573415,2687054,9830451,15466503,10944528,6029374,8388616,5767185
1476251982,1573300,3735621,5505069,14549004,5046288,8978455,1966096,15204361
1476251983,1573219,9896057,10551499,12320768,0,0,0,0
1476251984,1574325,9306487,16384087,2359406,12189763,13500439,12845077,13434893
1476251985,1573113,9896097,14483513,13303879,8585266,4784205,7536648,13500422
1476251986,1573042,11141277,12845342,12189763,1310720,0,0,0
1476251987,1573202,6750290,16515214,5374041,14483534,11534361,14352394,2162703
1476251988,1572946,13172819,4390929,11075607,12976162,131095,13434902,7274498
1476251989,1573002,8454263,11599908,10747943,5701646,9175076,0,0
1476251990,1573032,12189774,4587599,11403350,5242914,2031643,1769480,6553606
1476251991,1573284,8192156,11272246,6291537,2424851,9830427,2949155,16384033
1476251992,1572943,1179664,4784148,16384054,13434887,15073288,10223625,3735552
1476251993,1573030,11796676,10485812,8978531,8519717,16318494,12451856,15990796
1476251995,1575167,3081655,5046376,3605095,14877221,3801534,6291553,10813485
1476251996,1572908,13632010,14221331,852018,3211327,11141150,15466518,9764873
1476251997,1572864,0,0,0,0,0,0,0
1476251998,1572961,15138913,16253039,16646150,1376333,3473434,3080210,2949126
1476251999,1573052,3014692,7602300,15073554,655407,720940,7405582,9633802
1476252000,1575730,8585417,0,0,0,0,0,0
1476252001,1573318,10223985,8454161,1900659,14286897,1179717,14549027,9043989
1476252002,1573108,2621500,8257578,7078271,5505046,3473450,7405586,3866629
1476252003,1572945,13893742,12976540,2359296,0,0,0,0
1476252004,1573160,1179695,11468858,1703954,7864341,4063251,15859727,196616
1476252005,1572958,6225970,10354801,5308440,9306170,16318478,10289190,4980755
1476252006,1572971,2555975,720921,9371704,4849664,0,0,0
1476252007,1578702,4325677,2752543,14811263,6881463,1048667,14352423,14417942
1476252008,1573054,2818435,524322,11141201,5832827,16711729,15597590,7405583
1476252009,1573168,9503188,655400,11534347,1769501,6946837,0,0
1476252010,1575841,1902118,852302,1572899,6750496,10682572,3866670,15073325
1476252011,1572905,12189748,720940,15597609,12451875,13893654,14680082,16318472
1476252012,1572943,5439526,7602240,8126661,5308508,14942234,10223624,3604480
1476252013,1573010,12714070,10485774,9502790,15400998,9109523,4915223,3604490
1476252015,1573011,10551425,11796544,7798853,9044024,7602201,13238291,7864324
1476252016,1574182,12976681,15073642,458870,13435086,15597666,10682430,13238292
1476252017,1573120,0,0,0,0,0,0,0
1476252018,1572964,12976220,6619163,5898304,3145754,11141140,8323085,11075609
