timestamp,delta,theta,loAlpha,hiAlpha,loBeta,hiBeta,loGamma,midGamma
1476251349,1572864,65536,65536,65536,65536,65536,131072,196608
1476251350,1572864,1048576,0,0,0,0,0,0
1476251351,1572864,1441792,524288,262144,327680,262144,393216,262144
1476251352,1572864,3670016,655360,0,393216,655360,851968,524288
1476251353,1572868,6094848,15663105,3342336,0,0,0,0
1476251354,1572871,720902,4587526,14155780,1310733,9109516,10420234,5373970
1476251355,1573502,4260253,14680089,9371760,5832741,131103,11730950,4128777
1476251356,1573046,14680086,5111813,13697028,786432,0,0,0
1476251357,1572917,5505060,6488065,9109510,13762571,15073281,11927552,11010048
1476251358,1573866,8126591,12517380,12189716,12189708,11927559,4587526,1048580
1476251359,1576486,655422,5767300,15925697,7798843,4390943,0,0
1476251360,1573747,14811215,15335470,15204367,4587537,5111814,4718593,15138820
1476251361,1573497,12451956,11337760,11665440,589844,15597571,5767171,5570562
1476251362,1574231,14811385,14352400,12189714,12189700,6750219,14811141,10485760
1476251363,1574845,12976223,12976153,13697043,7995427,15466502,1638405,8650758
1476251365,1576447,11469065,12124393,4259948,9240629,1900572,10158110,15269906
1476251366,1581911,16515353,15532065,15925335,4653076,12648466,14286862,851977
1476251367,1579008,0,0,0,0,0,0,0
1476251368,1583233,3998295,6881342,15794277,3145808,13893666,16711689,13107219
1476251369,1578953,6226233,7077985,10354715,4194422,1507345,16449560,11010063
1476251370,1580577,10355552,0,0,0,0,0,0
1476251371,1574413,8978659,8912913,7274497,11468834,5373957,327684,2949124
1476251372,1575556,9306208,6750238,9240596,9699345,327687,5570568,16449542
1476251373,1576708,10355111,15401012,7798784,0,0,0,0
1476251374,1574710,331849,721663,11600204,1245310,4390994,6815804,6094891
1476251375,1575488,13041703,4325409,4128787,10092556,9109509,1572868,10027009
1476251376,1585406,13832056,13828308,6750405,1769472,0,0,0
1476251377,1573878,9306458,14745613,6291462,6225929,1245189,1048579,11993089
1476251378,1577121,11600345,1048673,5243071,2490390,4259867,15794210,12845071
1476251379,1576209,4326513,11665489,14942268,13107249,10027030,0,0
1476251380,1573708,13107263,7471113,393245,4456465,3997706,2883595,5832708
1476251381,1575645,2228810,3932277,4456521,65635,7012377,16711687,2097158
1476251382,1576385,1508896,99,12648535,13566008,262162,3407908,14221312
1476251383,1578396,9765177,16515101,5898315,9502768,6488082,11599881,8126478
1476251385,1577319,14811620,5373981,14286888,6422632,4915216,6422546,9109517
1476251386,1573270,1376354,1835047,13107249,458760,12910598,5242885,14680067
1476251387,1576192,0,0,0,0,0,0,0
1476251388,1574336,13829172,3277074,15401124,9699439,16384030,13893648,2097155
1476251389,1577196,6029425,1638409,11599880,16187422,6029318,15335428,12124161
1476251390,1573696,11010075,0,0,0,0,0,0
1476251391,1577384,10289757,15073384,8585262,9437301,12910601,14483478,9306127
1476251392,1574764,11993838,2556100,458850,13959192,720921,14680075,15269904
1476251393,1576418,13567376,1507373,3080192,0,0,0,0
1476251394,1575941,10093026,917600,11731011,15466540,14549004,13434891,13631495
1476251395,1578845,11141852,11862048,2490506,11862046,1179668,10420239,8388618
1476251396,1572967,6225959,15400962,12386308,3145728,0,0,0
1476251397,1574189,16187452,2949122,13565971,8192027,3801094,2555908,917507
1476251398,1577513,16056726,6422567,15007848,15204388,16056333,7077915,1245194
1476251399,1581130,6884266,3276940,14811435,15532152,10748015,0,0
1476251400,1576965,10749178,8913009,2949295,7012386,13959185,6946841,1245195
1476251401,1573150,8978755,720910,262158,4784140,16384005,11272195,15073283
1476251402,1575908,5046816,3539101,16711732,2293780,3473428,3670041,4194304
1476251403,1580785,12257904,3277477,15794467,14287063,16711881,16646230,8192051
1476251405,1574198,6029393,16515108,7274524,12451851,3473412,10878980,5570561
1476251406,1576250,12911246,589859,9830412,655387,15532068,12189723,14286864
1476251407,1576960,0,0,0,0,0,0,0
1476251408,1573001,1376349,7471109,9830405,7077890,5177345,13565953,6815744
1476251409,1576016,14091578,15728671,13500471,15269913,12714015,1900566,11534357
1476251410,1577245,5767564,0,0,0,0,0,0
1476251411,1584609,14222175,14353376,3998376,11665856,3866700,852093,12189732
1476251412,1579711,9045779,11010261,6553634,262159,11337747,2424849,12648456
1476251413,1576574,11403925,9568338,13631488,0,0,0,0
1476251414,1578604,14355435,8979373,16581142,10551417,10551462,327732,15532078
1476251415,1576271,16647343,2818134,3014686,14483563,3604502,10747914,8650767
1476251416,1573315,6291764,13172793,16252932,11337728,0,0,0
1476251417,1578121,12648589,13631529,6094931,6750313,2621460,9437196,12582936
1476251418,1579262,14946225,11337994,7012736,5374028,3473544,12451937,8519709
1476251419,1584972,3017992,1246163,12910764,1573089,5374040,0,0
1476251420,1575129,15073532,15859729,14549012,9764874,13762564,15138820,9830403
1476251421,1576972,3474194,7405704,15269978,15597606,6357016,1441805,13697035
1476251422,1576358,11665711,327864,196623,12648500,16384021,8716307,14876672
1476251423,1579295,3866933,3211354,15073344,1703961,4128789,720918,5701644
1476251425,1574271,917536,14417939,262155,6750217,15073286,15400967,10420227
1476251426,1580417,7602266,786629,15073433,6029345,12386327,5505042,4915210
1476251427,1576704,0,0,0,0,0,0,0
1476251428,1575103,1507600,7208986,4587623,16253026,15269933,3407896,6094877
1476251429,1572969,7143448,10813448,6094852,10485763,15663105,7733248,9502720
1476251430,1578328,16127769,0,0,0,0,0,0
1476251431,1577693,11207191,14155882,15335493,15204389,11796504,10354701,11534351
1476251432,1579251,5575022,13239032,8651001,13238586,16253081,655414,3539049
1476251433,1573010,3212035,7864348,9371648,0,0,0,0
1476251434,1575402,4784866,65614,11993226,3735584,10158110,14155789,1769491
1476251435,1574086,7929941,15859744,7143441,3407887,8192010,7012357,13959172
1476251436,1577269,16056788,12779644,1966129,10944512,0,0,0
1476251437,1573322,12320836,8847372,11599879,15073290,15073290,7995399,13828099
1476251438,1574442,13173166,14221339,3211286,16580664,3342355,8388614,14680076
1476251439,1581220,721708,10682475,15401005,1638445,13434906,0,0
1476251440,1573520,4587691,11075626,11075592,10485774,2293765,4653068,5242883
1476251441,1575187,9437697,3014916,15073308,10027070,8454184,15597582,9568266
1476251442,1576324,7734645,3604573,11665464,14417957,1507356,13500435,7602176
1476251443,1577801,14811318,7602387,12321079,11337822,9109536,12255251,14680078
1476251445,1579306,14877236,6553837,10551313,8126563,983068,12976145,6422540
1476251446,1583028,15728828,8257652,5636110,2359346,4194342,3014685,2752537
1476251447,1575424,0,0,0,0,0,0,0
1476251448,1573903,13303968,13959177,5832757,6684681,10616841,10813445,9699332
1476251449,1576567,6160833,7930162,1507394,196677,1048625,1507344,8519694
1476251450,1577316,2556870,0,0,0,0,0,0
1476251451,1575829,9110059,14614691,15270070,4784226,2555984,11403298,11993100
1476251452,1575638,7930003,5505030,12517473,458793,4128783,8847371,10747918
1476251453,1576200,3540371,85,15335424,0,0,0,0
1476251454,1575794,14483526,393221,12582917,5963791,10027017,262146,5767168
1476251455,1577274,11732243,6620245,16646491,983326,10944778,11075743,1638459
1476251456,1574872,2425204,12583041,12124469,13435136,0,0,0
1476251457,1578892,6357971,10749312,1639437,14615392,4653257,327854,12976245
1476251458,1577454,16121898,9306199,11206731,1704004,4128821,11272280,11730988
1476251459,1577719,8192171,1245291,7733301,2883605,12976155,0,0
1476251460,1579831,8717981,8127140,1245422,13435370,1114437,7602234,6815791
1476251461,1575641,5308577,4456469,196619,16252966,15204364,14942214,14680066
1476251462,1575639,721952,15860019,7733317,3276885,524359,47,4194304
1476251463,1574932,16188551,4849855,15007880,13107341,2490403,3670098,4194320
1476251465,1575080,8848050,12779735,6226010,3211323,4325414,9175047,9764872
1476251466,1579932,14942629,10748083,12386389,13697205,5701676,15859729,15335436
1476251467,1576192,0,0,0,0,0,0,0
1476251468,1583475,16122223,14877321,3473603,8257621,14221391,12320788,6553623
1476251469,1574697,9109993,3276945,4390972,9764950,11010089,3145746,2949142
1476251470,1579786,2884221,0,0,0,0,0,0
1476251471,1573082,12648490,14745605,2359303,9961476,8716289,8323073,13238272
1476251472,1573274,1114252,6094859,10092582,13959203,10682373,5177348,15859715
1476251473,1577209,6816522,6357249,2818048,0,0,0,0
1476251474,1574586,4588740,10616982,13303917,10289179,131141,16187404,2818053
1476251475,1575928,2556027,6357029,12976148,14876696,2490386,16318467,9568269
1476251476,1578287,9699864,14418260,7340136,13893632,0,0,0
1476251477,1575581,10092590,15990816,589835,8519696,524313,12976131,7208962
1476251478,1576856,6881570,13828365,2424881,1376352,1048620,4128801,6029325
1476251479,1576976,14156700,6946914,13172769,4849801,13041702,0,0
1476251480,1586465,3539290,16056431,2228339,5832783,11337753,9633812,11272205
1476251481,1573121,1835084,14155808,15990789,1310723,4653058,16580608,16187392
1476251482,1575270,7864828,5308644,8912949,3866754,3145785,1310758,16449536
1476251483,1577518,5636493,5767424,3473443,8585240,15859735,6750224,4849675
1476251485,1579577,11207422,9699546,14614583,11731069,9175068,14745616,2490379
1476251486,1579359,10553823,262174,10158165,5439575,12976176,7340062,14286866
1476251487,1572864,0,0,0,0,0,0,0
1476251488,1575613,16122277,12714149,1769637,10289259,16711731,14221329,11993108
1476251489,1578292,5898315,14090262,6750244,11272220,13959178,7929863,10616836
1476251490,1579279,2033050,0,0,0,0,0,0
1476251491,1575166,11798002,524392,15466536,7930008,10485783,3932191,8978454
1476251492,1574214,14942308,2687014,7536651,2162712,1507338,851982,6946820
1476251493,1573391,8978511,12124193,14680064,0,0,0,0
1476251494,1575455,983382,13500432,1179686,6094868,9961482,15007751,1245190
1476251495,1573123,12583016,13631591,1507400,1572902,5767183,1114118,8126470
1476251496,1578788,15663270,16515082,9830553,851968,0,0,0
1476251497,1573856,5177440,13500423,11468836,14942220,1114120,7405573,11075589
1476251498,1577725,9896345,917846,13369591,11862043,13500465,2621465,9830414
1476251499,1576249,11075850,15007775,11993184,8388672,4194324,0,0
1476251500,1576838,6816109,2359863,10879045,3342383,11730977,7012362,7995408
1476251501,1581048,15338127,5243500,7078072,7602548,3080329,14155875,1966136
1476251502,1585196,3671261,16712054,11731174,10879578,2949270,16711789,4259840
1476251503,1583143,12583601,2883646,8781882,15466569,12648511,10813453,3145740
1476251505,1579767,16450789,3342401,11731004,131132,12058648,12058678,14221329
1476251506,1574561,12058690,4915233,5767204,8650766,14614536,7602180,13434882
1476251507,1574400,0,0,0,0,0,0,0
1476251508,1573356,13566269,10485783,16056330,16515111,12124173,6946817,14811138
1476251509,1580499,3539313,2752676,7209006,16056340,6553639,4849674,8257557
1476251510,1581623,10879437,0,0,0,0,0,0
1476251511,1576432,6554184,7077978,1769639,11796578,5767183,16121872,13697045
1476251512,1575400,197153,589864,3932523,262175,12517414,13303827,393238
1476251513,1573366,8716606,12255238,11534336,0,0,0,0
1476251345,1572864,196608,131072,65536,131072,65536,65536,65536
1476251346,1572864,327680,0,0,0,0,0,0
1476251347,1572864,786432,65536,65536,65536,0,196608,65536
1476251348,1572875,14024704,14745600,4521984,2883584,7208960,6553600,3801088
1476251349,1572951,4784142,14352392,12845056,0,0,0,0
1476251350,1574322,6684866,15073297,524323,7798802,8126474,1376268,3145735
1476251351,1573323,11337776,8716420,6160410,8519692,1572872,8454148,11141124
1476251352,1573255,1638959,15859765,11730985,9371648,0,0,0
1476251353,1576264,16056461,8061118,10551471,4718760,6881318,6946833,3670030
1476251354,1573910,7929890,14417939,14876679,16121865,6946821,14417923,14680068
