timestamp,delta,hiAlpha,hiBeta,loAlpha,loBeta,loGamma,midGamma,theta
1476251446,1583028,5636110,4194342,8257652,2359346,3014685,2752537,15728828
1476251447,1575424,0,0,0,0,0,0,0
1476251448,1573903,5832757,10616841,13959177,6684681,10813445,9699332,13303968
1476251449,1576567,1507394,1048625,7930162,196677,1507344,8519694,6160833
1476251450,1577316,0,0,0,0,0,0,2556870
1476251451,1575829,15270070,2555984,14614691,4784226,11403298,11993100,9110059
1476251452,1575638,12517473,4128783,5505030,458793,8847371,10747918,7930003
1476251453,1576200,15335424,0,85,0,0,0,3540371
1476251454,1575794,12582917,10027017,393221,5963791,262146,5767168,14483526
1476251455,1577274,16646491,10944778,6620245,983326,11075743,1638459,11732243
1476251456,1574872,12124469,0,12583041,13435136,0,0,2425204
1476251457,1578892,1639437,4653257,10749312,14615392,327854,12976245,6357971
1476251458,1577454,11206731,4128821,9306199,1704004,11272280,11730988,16121898
1476251459,1577719,7733301,12976155,1245291,2883605,0,0,8192171
1476251460,1579831,1245422,1114437,8127140,13435370,7602234,6815791,8717981
1476251461,1575641,196619,15204364,4456469,16252966,14942214,14680066,5308577
1476251462,1575639,7733317,524359,15860019,3276885,47,4194304,721952
1476251463,1574932,15007880,2490403,4849855,13107341,3670098,4194320,16188551
1476251465,1575080,6226010,4325414,12779735,3211323,9175047,9764872,8848050
1476251466,1579932,12386389,5701676,10748083,13697205,15859729,15335436,14942629
1476251467,1576192,0,0,0,0,0,0,0
1476251468,1583475,3473603,14221391,14877321,8257621,12320788,6553623,16122223
1476251469,1574697,4390972,11010089,3276945,9764950,3145746,2949142,9109993
1476251470,1579786,0,0,0,0,0,0,2884221
1476251471,1573082,2359303,8716289,14745605,9961476,8323073,13238272,12648490
1476251472,1573274,10092582,10682373,6094859,13959203,5177348,15859715,1114252
1476251473,1577209,2818048,0,6357249,0,0,0,6816522
1476251474,1574586,13303917,131141,10616982,10289179,16187404,2818053,4588740
1476251475,1575928,12976148,2490386,6357029,14876696,16318467,9568269,2556027
1476251476,1578287,7340136,0,14418260,13893632,0,0,9699864
1476251477,1575581,589835,524313,15990816,8519696,12976131,7208962,10092590
1476251478,1576856,2424881,1048620,13828365,1376352,4128801,6029325,6881570
1476251479,1576976,13172769,13041702,6946914,4849801,0,0,14156700
1476251480,1586465,2228339,11337753,16056431,5832783,9633812,11272205,3539290
1476251481,1573121,15990789,4653058,14155808,1310723,16580608,16187392,1835084
1476251482,1575270,8912949,3145785,5308644,3866754,1310758,16449536,7864828
1476251483,1577518,3473443,15859735,5767424,8585240,6750224,4849675,5636493
1476251485,1579577,14614583,9175068,9699546,11731069,14745616,2490379,11207422
1476251486,1579359,10158165,12976176,262174,5439575,7340062,14286866,10553823
1476251487,1572864,0,0,0,0,0,0,0
1476251488,1575613,1769637,16711731,12714149,10289259,14221329,11993108,16122277
1476251489,1578292,6750244,13959178,14090262,11272220,7929863,10616836,5898315
