timestamp,delta,theta,loAlpha,hiAlpha,loBeta,hiBeta,loGamma,midGamma
1476252162,1573713,4587586,8912901,11599877,6488069,2490372,13107203,2621441
1476252163,1572864,0,0,0,0,0,0,0
1476252164,1577401,15270175,3801264,5701669,3407886,15794229,15859733,9895952
1476252165,1575719,12780481,5964194,9634090,579,3473626,13041740,8585253
1476252166,1576695,4784273,0,0,0,0,0,0
1476252167,1574477,16714542,7734140,7668156,196930,16187992,8978750,11862236
1476252168,1578656,1573629,6816382,14157207,4458118,2687546,2949319,6553702
1476252169,1576817,393432,1441876,15925248,0,0,0,0
1476252170,1575965,16122874,14155818,10945008,7864619,262516,5832905,14155816
1476252171,1575745,6095133,11075627,5898260,1245293,13893671,14811144,12451844
1476252172,1576820,11273054,9437575,1638575,1507584,0,0,0
1476252173,1582165,3868108,11534394,11534628,14025015,6619562,11730991,6815757
1476252174,1580813,12452087,8061231,1900940,10158619,7012702,12058771,6946990
1476252175,1574669,4917025,9437258,9371777,4915291,13303914,0,0
1476252176,1581781,6947253,16384195,3735657,2031763,8192147,9502758,7929869
1476252177,1575638,11928215,9764953,11010182,4391004,2162777,2621470,5373975
1476252178,1578759,2164196,12518730,197159,655745,6226274,12779719,14155776
1476252179,1573888,12976169,6815751,15990798,10092558,1376270,12648453,13369346
1476252181,1575784,5505297,7405686,6619302,5636200,7929895,4128784,7798824
1476252182,1575246,11863217,9240613,14614726,2032440,852220,8060960,6750298
1476252183,1577216,0,0,0,0,0,0,0
1476252184,1573572,6881318,9306149,15400981,14221343,65575,65547,917507
1476252185,1575588,15269947,3604485,131100,5832710,9175045,16646150,4784131
1476252186,1576263,8192229,0,0,0,0,0,0
1476252187,1576244,196911,2228434,5832790,4194488,8323312,14352419,12845119
1476252188,1577018,16450275,7209192,13238459,131792,2687415,5832845,1441898
1476252189,1576715,11272764,16384058,15073280,0,0,0,0
1476252190,1578953,15204714,10354752,13303909,10617182,3997900,2031674,10682400
1476252191,1573995,917603,655447,9895985,65601,983065,14745635,13631497
1476252192,1576025,6226224,1703984,4522201,3539200,0,0,0
1476252193,1578436,852328,8781923,9437303,3997876,720981,4259873,2949132
1476252194,1585798,2691963,9503554,1509552,14812498,8392467,14615069,3015275
1476252195,1580159,10420358,4128853,16646244,7798801,5308470,0,0
1476252196,1578095,8585291,10027033,12582984,3997990,10420296,16449573,65556
1476252197,1578383,15992397,11862676,2556676,14680481,15926076,6029426,6488136
1476252198,1574791,8454736,16056432,3342379,13762593,2818106,15269930,10223616
1476252199,1574736,13042182,13304134,1835111,6291667,14811263,13434943,10944528
1476252201,1575518,9634806,3407879,15400992,13565996,6619210,2228243,6750231
1476252202,1578002,2556358,3735822,13303978,3473551,5636169,8192029,9502742
1476252203,1578240,0,0,0,0,0,0,0
1476252204,1576067,10748620,12582964,65554,8781844,9175095,14549022,16318478
1476252205,1573718,15990999,15007809,14024731,589851,65603,15138837,12320778
1476252206,1576072,5112969,0,0,0,0,0,0
1476252206,1575451,13435195,10027072,3932219,4325518,12386377,13959177,8519689
1476252208,1580741,4129057,2293802,6881357,5570627,2162766,6094866,14352391
1476252208,1574849,15073422,16187472,16580608,0,0,0,0
1476252209,1575876,11141568,7536789,13238355,2883828,5767276,3735604,851978
1476252211,1581058,14092339,1967088,5898835,8454442,15663280,7929925,3276845
1476252212,1573508,65581,6029324,196617,14548992,0,0,0
1476252212,1577406,2950791,3146797,14614931,1376602,590083,6291574,3145855
1476252213,1575235,13172868,7602188,4653108,5505039,2031632,12582939,9437192
1476252214,1574298,9175218,10551323,9240604,7012362,9699347,0,0
1476252215,1581469,6292470,3997953,1966767,5177786,1900644,2818091,5832750
1476252216,1578018,7209060,4653227,6619222,10682433,6225983,1572877,65544
1476252217,1577192,11469360,4784265,12320828,12910648,1703970,16056449,7733248
1476252218,1578771,5046335,1703956,9044021,2621458,9437204,3342367,5701639
1476252220,1576142,12977660,11075860,1704055,1900652,10485829,262199,15663211
1476252222,1577068,3080315,7536902,2752558,4718689,10354789,14417985,12124212
1476252222,1577728,0,0,0,0,0,0,0
1476252223,1573346,9896449,2490525,14418040,8192122,6160513,2555919,1114127
1476252224,1579639,13304984,5702366,16318973,3997847,1245228,786450,7602203
1476252225,1577618,13304762,0,0,0,0,0,0
1476252226,1574633,458786,1900557,14811148,15400970,5308421,7340036,720897
