timestamp,delta,hiAlpha,hiBeta,loAlpha,loBeta,loGamma,midGamma,theta
1476252169,1578967,8454838,10027916,13042518,263847,14745720,6160489,15403588
1476252170,1576273,0,0,0,0,0,0,15664237
1476252171,1575187,1245403,12386586,10813589,10617168,14745703,10420492,5244154
1476252172,1577826,5242953,15859977,5505108,13828246,11141159,9699344,7209373
1476252173,1580625,7012352,0,3801544,0,0,0,11145036
1476252174,1575422,8783178,3277984,3080971,11207919,14286995,8060985,2953082
1476252175,1577476,14876912,2621844,11338468,11338285,14876916,7209044,8786131
1476252176,1576113,9044112,0,12583162,14811136,0,0,11468881
1476252177,1576965,9502762,11272288,13173267,16187428,10944587,393276,9896543
1476252178,1579939,16056356,5374078,15269952,5963939,9699352,15794191,10289672
1476252179,1573897,2687133,15925304,7012400,4259911,0,0,15597909
1476252180,1575678,589905,15138837,12713993,2949158,16711698,1310739,852207
1476252181,1573718,4653125,16449547,10616946,393253,3276815,11599908,15073361
1476252182,1576713,4456570,14221448,3146808,3801611,12845135,7929856,5309743
1476252183,1576807,7209053,9568348,131266,9044036,8060994,983048,6029490
1476252185,1576307,15597591,7864329,589849,7274508,15138819,524289,9896015
1476252186,1579641,65926,13763303,2622192,10224145,14746465,328169,5246463
1476252187,1575424,0,0,0,0,0,0,0
1476252188,1578970,7340140,8388665,16056481,4718649,131133,16449605,14288359
1476252189,1575193,5963801,3735564,2097196,14680082,7405574,14483461,15335520
1476252190,1576604,0,0,0,0,0,0,15925745
1476252191,1575627,7208999,4980781,2949201,15401036,12910629,13434911,11796621
1476252192,1582139,3604811,9830488,7864966,12714144,1769631,9044133,11601574
1476252193,1575707,327680,0,9371720,0,0,0,5571302
1476252194,1578939,6553768,205,10420485,5570999,11468850,10027070,15401511
1476252195,1576125,12124205,10747914,15,11141128,15335427,12582912,3407923
1476252196,1573060,12517411,0,8454213,1114112,0,0,3145847
1476252197,1575868,5439497,10289157,9633799,1638405,3342337,2228225,14024715
1476252198,1573976,655435,458770,327745,10747969,6619147,11272203,917860
1476252199,1573955,11665558,13041992,14155798,8257759,0,0,131917
1476252200,1574089,11993113,15204408,12714040,4194386,13893641,7536642,1376602
1476252201,1574537,3605486,10290106,7080115,3212703,15597763,12517464,3738551
1476252202,1575163,11075638,12648466,2424914,2752559,5505027,4718592,10879265
1476252203,1572864,0,196608,983040,131072,65536,65536,1769472
1476252205,1576144,4063251,10027037,9699401,4718620,11206689,1835046,11796721
1476252206,1575390,14745612,11796515,7078280,13828129,15269941,1638435,4784750
1476252207,1584128,0,0,0,0,0,0,0
1476252208,1575771,12320802,15466527,10813553,12779547,2621443,6881282,3408081
1476252209,1575458,1179653,1638411,15663128,11796492,11862024,4128776,4194348
1476252210,1575693,0,0,0,0,0,0,14680174
1476252211,1577731,1114288,4194369,3473500,7929937,12386335,10747932,3867000
1476252212,1575428,655623,11731062,3211498,13959272,15794206,5242905,7799097
1476252213,1578419,4653056,0,2162857,0,0,0,11076698
1476252214,1580327,9437309,13303935,6684838,852044,2293854,10551326,5767696
1476252215,1575883,6422589,13172748,11075666,11599897,2031625,2949135,15990971
1476252216,1575827,9568277,0,6946871,1179648,0,0,11141269
1476252217,1575896,328052,14680396,1180237,9044525,16187930,3670426,13894765
1476252218,1572864,0,0,65536,65536,65536,0,196608
1476252219,1572864,0,0,0,0,0,0,196608
1476252220,1574779,6291720,12910818,11796685,12714207,7864375,15138944,196699
1476252221,1577152,8848675,460642,15663737,14353832,4784739,4260148,199284
1476252222,1578629,12058674,14549051,2425098,14090336,14352398,720896,7013015
1476252223,1579647,8585329,12320796,14221400,3407925,11796520,3538972,2097307
1476252225,1576621,14745816,4195170,14614531,16187844,14812125,16056409,2428655
1476252226,1582515,13238851,12322569,9503397,3015064,13305107,9634177,4981588
1476252227,1577472,0,0,0,0,0,0,0
